Id	AcceptedAnswerId	AnswerCount	Body	ClosedDate	CommentCount	CommunityOwnedDate	CreationDate	FavoriteCount	LastActivityDate	LastEditDate	LastEditorDisplayName	LastEditorUserId	OwnerUserId	ParentId	PostTypeId	Score	Tags	Title	ViewCount	AES	TEInit	TEEncDec	TETrans	REFr	REPerf	RERel	REPor	REInerop	RESecur	RESpace
61	0	NULL	"<p>Where can I find a list of all of the MIME types and the identifying characters for <strong>Microsoft Office 2007</strong> files?</p>

<p>I have an upload form that is restricting uploads based on the extensions and identifying characters, but I cannot seem to find the <strong>Office 2007 MIME</strong> types.</p>

<p>Can anyone help?</p>
"	NULL	NULL	NULL	17:20.6	NULL	NULL	NULL	NULL	NULL	0	0	1	52	<mime><file-type><office-2007>	"Microsoft Office 2007 file type, Mime types and identifying characters"	4186	NULL	samp	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
340820	342610	1	"<p>I am using a AES cipher with a 16 byte block size. </p>

<p>If I try and encrypt a 16 byte string I have no problems, but any other length not a multiple of 16 is throwing an exception. </p>

<p>I know with 3-DES you can specify a padding type as part of the algorithm and it's handled with no extra work (e.g. DES/CBC/PKCS5Padding), but is there a way to specify this with AES? </p>

<p>Or do I need to pad the pytes manually to a multiple of 16, and then strip them when I decrypt? Here is an abbreviated code sample. </p>

<pre><code>encrypt = Cipher.getInstance(""AES"", provider);
encrypt.init(Cipher.ENCRYPT_MODE, key) ;
byte[] encrypted = encrypt.doFinal(plainTxt.getBytes()) ;
</code></pre>

<p>Any and all replies appreciated! </p>

<p>Thanks in advance,
Ciarán</p>
"	NULL	1	NULL	49:24.9	2	13:05.7	NULL	NULL	0	446733	0	1	6	<java><encryption><aes><padding>	Java Cipher - AES Padding Problem	24030	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
868776	0	4	"<p>I am trying to decrypt a file in Java which was encrypted in C# using Rijndael/CBC/PKCS7. I keep getting the following exception:</p>

<blockquote>
  <p>javax.crypto.BadPaddingException: pad block corrupted<br>
      at org.bouncycastle.jce.provider.JCEBlockCipher.engineDoFinal(Unknown Source)<br>
      at javax.crypto.Cipher.doFinal(DashoA13*..)<br>
      at AESFileDecrypter.decrypt(AESFileDecrypter.java:57)  </p>
</blockquote>

<p>when the <code>doFinal(inpbytes)</code> method is called by the web server for the first byte[]. I am guessing this is a problem with the key or IV. I have the encrypted files on my file system for testing. Is there anything that anyone can see glaringly wrong with my code below?</p>

<p>***keyStr is base64 encoded</p>

<pre><code>public AESFileDecrypter(String keyStr){
    try {
            Security.addProvider(new BouncyCastleProvider());   
            convertIvParameter();
            key = new sun.misc.BASE64Decoder().decodeBuffer(keyStr);

            //use the passed in Base64 decoded key to create a key object
            decryptKey = new SecretKeySpec(key, ""AES"");

            //specify the encryption algorithm
            decryptCipher = Cipher.getInstance(""AES/CBC/PKCS7Padding"", ""BC"");

            //make a parameter object for the initialization vector(IV)             
            IvParameterSpec ivs = new IvParameterSpec(_defaultIv);

            //initialize the decrypter to the correct mode, key used and IV
            decryptCipher.init(Cipher.DECRYPT_MODE, decryptKey, ivs);    
        } 
     catch (Exception e) {
             e.printStackTrace();
     } 
}

public void convertIvParameter() {

   int[] iv = new int[] {11, 190, 165, 33, 68, 88, 11, 200, 245, 35, 68, 23, 60, 24, 223, 67};

   _defaultIv = new byte[16];

   for(int x = 0; x &lt; _defaultIv.length; x++) {
      _defaultIv[x] = (byte)iv[x];
   }
}

public void decryptUpdate(byte[] inpBytes) throws Exception {
   //decrypt the byte passed in from the web server
   decryptCipher.update(inpBytes);  
}

public byte[] decryptFinal() throws Exception {
   //decrypt the byte passed in from the web server
   return decryptCipher.doFinal();
}

//sends bytes to the client for diaply
private void sendBytes(FileInputStream fis, OutputStream os)throws Exception {
    //set the buffer size to send 4k segments of data
aesFileDecrypter = new AESFileDecrypter(&lt;Insert Key string here&gt;);

    byte[] buffer = new byte[4096];
    int bytes = 0, totalBytes = fis.available();

    //while there is still data to be sent keep looping and write the data
    //to the output stream as the buffer is filled
    try {
       while ((bytes = fis.read(buffer)) != -1) {   
          aesFileDecrypter.decryptUpdate(buffer);
          //os.write(buffer, 0, bytes);
       }

       os.write(aesFileDecrypter.decryptFinal(), 0, totalBytes);
   }
   catch(Exception e) {
      e.printStackTrace();
   }
}
</code></pre>
"	NULL	0	NULL	48:05.9	4	28:16.0	28:16.0	Ken	597607	0	0	1	7	<java><exception><encryption>	BadPaddingException: pad block corrupted	26769	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
908672	908714	6	"<p>Consider:</p>

<pre><code>import java.awt.*;

import javax.swing.*;
import java.awt.event.*;
import javax.crypto.*;
import javax.crypto.spec.*;
import java.security.*;
import java.io.*;


public class EncryptURL extends JApplet implements ActionListener {

    Container content;
    JTextField userName = new JTextField();
    JTextField firstName = new JTextField();
    JTextField lastName = new JTextField();
    JTextField email = new JTextField();
    JTextField phone = new JTextField();
    JTextField heartbeatID = new JTextField();
    JTextField regionCode = new JTextField();
    JTextField retRegionCode = new JTextField();
    JTextField encryptedTextField = new JTextField();

    JPanel finishPanel = new JPanel();


    public void init() {

        //setTitle(""Book - E Project"");
        setSize(800, 600);
        content = getContentPane();
        content.setBackground(Color.yellow);
        content.setLayout(new BoxLayout(content, BoxLayout.Y_AXIS));

        JButton submit = new JButton(""Submit"");

        content.add(new JLabel(""User Name""));
        content.add(userName);

        content.add(new JLabel(""First Name""));
        content.add(firstName);

        content.add(new JLabel(""Last Name""));
        content.add(lastName);

        content.add(new JLabel(""Email""));
        content.add(email);

        content.add(new JLabel(""Phone""));
        content.add(phone);

        content.add(new JLabel(""HeartBeatID""));
        content.add(heartbeatID);

        content.add(new JLabel(""Region Code""));
        content.add(regionCode);

        content.add(new JLabel(""RetRegionCode""));
        content.add(retRegionCode);

        content.add(submit);

        submit.addActionListener(this);
    }


    public void actionPerformed(ActionEvent e) {

        if (e.getActionCommand() == ""Submit""){

            String subUserName = userName.getText();
            String subFName = firstName.getText();
            String subLName = lastName.getText();
            String subEmail = email.getText();
            String subPhone = phone.getText();
            String subHeartbeatID = heartbeatID.getText();
            String subRegionCode = regionCode.getText();
            String subRetRegionCode = retRegionCode.getText();

            String concatURL =
                ""user="" + subUserName + ""&amp;f="" + subFName +
                ""&amp;l="" + subLName + ""&amp;em="" + subEmail +
                ""&amp;p="" + subPhone + ""&amp;h="" + subHeartbeatID +
                ""&amp;re="" + subRegionCode + ""&amp;ret="" + subRetRegionCode;

            concatURL = padString(concatURL, ' ', 16);
            byte[] encrypted = encrypt(concatURL);
            String encryptedString = bytesToHex(encrypted);
            content.removeAll();
            content.add(new JLabel(""Concatenated User Input --&gt;"" + concatURL));

            content.add(encryptedTextField);
            setContentPane(content);
        }
    }

    public static byte[] encrypt(String toEncrypt) throws Exception{
        try{
            String plaintext = toEncrypt;
            String key = ""01234567890abcde"";
            String iv = ""fedcba9876543210"";

            SecretKeySpec keyspec = new SecretKeySpec(key.getBytes(), ""AES"");
            IvParameterSpec ivspec = new IvParameterSpec(iv.getBytes());

            Cipher cipher = Cipher.getInstance(""AES/CBC/NoPadding"");
            cipher.init(Cipher.ENCRYPT_MODE, keyspec, ivspec);
            byte[] encrypted = cipher.doFinal(toEncrypt.getBytes());

            return encrypted;
        }
        catch(Exception e){
        }
    }


    public static byte[] decrypt(byte[] toDecrypt) throws Exception{
        String key = ""01234567890abcde"";
        String iv = ""fedcba9876543210"";

        SecretKeySpec keyspec = new SecretKeySpec(key.getBytes(), ""AES"");
        IvParameterSpec ivspec = new IvParameterSpec(iv.getBytes());

        Cipher cipher = Cipher.getInstance(""AES/CBC/NoPadding"");
        cipher.init(Cipher.DECRYPT_MODE, keyspec, ivspec);
        byte[] decrypted = cipher.doFinal(toDecrypt);

        return decrypted;
    }


    public static String bytesToHex(byte[] data) {
        if (data == null)
        {
            return null;
        }
        else
        {
            int len = data.length;
            String str = """";
            for (int i=0; i&lt;len; i++)
            {
                if ((data[i]&amp;0xFF) &lt; 16)
                    str = str + ""0"" + java.lang.Integer.toHexString(data[i]&amp;0xFF);
                else
                    str = str + java.lang.Integer.toHexString(data[i]&amp;0xFF);
            }
            return str;
        }
    }


    public static String padString(String source, char paddingChar, int size)
    {
        int padLength = size-source.length() % size;
        for (int i = 0; i &lt; padLength; i++) {
            source += paddingChar;
        }
        return source;
    }
}
</code></pre>

<p>I'm getting an unreported exception:</p>

<pre><code>java.lang.Exception; must be caught or declared to be thrown
byte[] encrypted = encrypt(concatURL);
</code></pre>

<p>As well as:</p>

<pre><code>.java:109: missing return statement
</code></pre>

<p>How do I solve these problems?</p>
"	NULL	1	NULL	22:57.0	12	55:20.9	55:20.9	NULL	63550	51898	0	1	48	<java><exception>	"Why do I get ""Exception; must be caught or declared to be thrown"" when I try to compile my Java code?"	206426	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
992019	992413	9	"<p>I need to implement 256 bit AES encryption, but all the examples I have found online use a ""KeyGenerator"" to generate a 256 bit key, but I would like to use my own passkey. How can I create my own key? I have tried padding it out to 256 bits, but then I get an error saying that the key is too long. I do have the unlimited jurisdiction patch installed, so thats not the problem :)</p>

<p>Ie. The KeyGenerator looks like this ...</p>

<pre><code>// Get the KeyGenerator
KeyGenerator kgen = KeyGenerator.getInstance(""AES"");
kgen.init(128); // 192 and 256 bits may not be available

// Generate the secret key specs.
SecretKey skey = kgen.generateKey();
byte[] raw = skey.getEncoded();
</code></pre>

<p><a href=""http://java.sun.com/developer/technicalArticles/Security/AES/AES_v1.html"" rel=""noreferrer"">Code taken from here</a></p>

<p><strong>EDIT</strong></p>

<p>I was actually padding the password out to 256 bytes, not bits, which is too long. The following is some code I am using now that I have some more experience with this.</p>

<pre><code>byte[] key = null; // TODO
byte[] input = null; // TODO
byte[] output = null;
SecretKeySpec keySpec = null;
keySpec = new SecretKeySpec(key, ""AES"");
Cipher cipher = Cipher.getInstance(""AES/CBC/PKCS7Padding"");
cipher.init(Cipher.ENCRYPT_MODE, keySpec);
output = cipher.doFinal(input)
</code></pre>

<p>The ""TODO"" bits you need to do yourself :-)</p>
"	NULL	6	NULL	39:02.2	307	52:12.9	51:19.2	NULL	3474	91414	0	1	417	<java><encryption><cryptography><passwords><aes>	Java 256-bit AES Password-Based Encryption	610361	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1226083	1226156	2	"<p>I'm implementing encryption / decryption using Java Cipher and AES.  Everything is working well except that there's 5 extra bytes written on the call to doFinal().  So, I end up with a correctly decoded string with 5 extra bytes appended.</p>

<p>I believe the reason is that the entire block of 16-bytes is being written.  I see 3 16-byte blocks written, including the last one.  The input encrypted file is 64-bytes.  The unencrypted text should be 43 bytes.</p>

<p>The documentation for doFinal indicates that it can return the number of bytes written to the output buffer.  However, it's 0,16,16,16.  I've tried every form of doFinal and update and get no change in behavior.</p>

<p>It kind of makes sense that it's writing out a full-block, since that's how most of these algorithms operate.  However, if it's not going to tell me the size of the output data, how am I supposed to prevent excess data?</p>

<p>Should perhaps I be using another algorithm?  AES256 is a requirement, but I wonder if a different block type or padding type might allow it to write the correct number of bytes.</p>

<p>Any guidance?</p>

<p>Snipped for (some) brevity:</p>

<pre><code>decryptCipher = Cipher.getInstance(""AES"");
decryptCipher.init(Cipher.DECRYPT_MODE, aesKey);
</code></pre>

<p>Business part of the decryption routine.</p>

<pre><code>    long bytesToRead = inputFile.length();

    while ((inLen = in.read(buffer)) &gt; 0) {
        int bytesOut = 0;
        byte[] cryptBytes = null;
        int outLen = cipher.getOutputSize(inLen);
        cryptBytes = new byte[outLen];

        if (bytesToRead &lt;= buffer.length) {
            try {
                bytesOut = cipher.doFinal(buffer, 0, inLen, cryptBytes, 0);
            } catch (ShortBufferException e) {
                // TODO Auto-generated catch block
                e.printStackTrace();
            }
        } else
            try {
                bytesOut = cipher.update(buffer, 0, inLen, cryptBytes, 0);
            } catch (ShortBufferException e) {
                // TODO Auto-generated catch block
                e.printStackTrace();
            }

        out.write(cryptBytes, 0, bytesOut);
        bytesToRead -= inLen;

    }
    try {
        out.flush();
        in.close();
        out.close();
    } catch (IOException e) {
        // TODO Auto-generated catch block
        e.printStackTrace();
    }
</code></pre>
"	NULL	0	NULL	24:04.2	5	48:11.3	29:07.8	NULL	21234	136451	0	1	11	<java><encryption><aes>	Java cipher.doFinal() writing extra bytes	21937	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1440030	1440197	2	"<p>I've read the following threads and they've helped a little, but I'm looking for a little more info.</p>

<p><a href=""https://stackoverflow.com/questions/915786/how-to-write-aes-cbc-pkcs5padding-encryption-and-decryption-with-initialization-v"">How to write AES/CBC/PKCS5Padding encryption and decryption with Initialization Vector Parameter for BlackBerry </a></p>

<p><a href=""https://stackoverflow.com/questions/992019/java-256bit-aes-encryption"">Java 256bit AES Encryption</a></p>

<p>Basically, what I am doing is writing a program that will encrypt a request to be sent over TCP/IP, and then decrypted by a server program. The encryption will need to be AES, and doing some research I found out I need to use CBC and PKCS5Padding. So basically I need a secret key and an IV as well. </p>

<p>The application I'm developing is for a phone, so I want to use the java security packages to keep the size down. I've got the design done, but unsure of the implementation of the IV and the shared key.</p>

<p>Here's some code:</p>

<pre><code>// My user name
byte[] loginId = ""login"".getBytes();

byte[] preSharedKey128 = ""ACME-1234AC"".getBytes();
byte[] preSharedKey192 = ""ACME-1234ACME-1234A"".getBytes();
// 256 bit key
byte[] preSharedKey256 = ""ACME-1234ACME-1234ACME-1234"".getBytes();
byte[] preSharedKey = preSharedKey256;

// Initialization Vector
// Required for CBC
byte[] iv ={0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00};
IvParameterSpec ips = new IvParameterSpec(iv);


byte[] encodedKey = new byte[loginId.length + preSharedKey.length];

System.arraycopy(loginId, 0, encodedKey, 0, loginId.length);
System.arraycopy(preSharedKey, 0, encodedKey, loginId.length, preSharedKey.length);

// The SecretKeySpec provides a mechanism for application-specific generation
// of cryptography keys for consumption by the Java Crypto classes.

// Create a key specification first, based on our key input.
SecretKey aesKey = new SecretKeySpec(encodedKey, ""AES"");

// Create a Cipher for encrypting the data using the key we created.
Cipher encryptCipher;

encryptCipher = Cipher.getInstance(""AES/CBC/PKCS5Padding"");
// Initialize the Cipher with key and parameters
encryptCipher.init(Cipher.ENCRYPT_MODE, aesKey, ips);

// Our cleartext
String clearString = ""33,8244000,9999,411,5012022517,0.00,0,1,V330"";
byte[] cleartext = clearString.getBytes();

// Encrypt the cleartext
byte[] ciphertext = encryptCipher.doFinal(cleartext);

// Now decrypt back again...
// Decryption cipher
Cipher decryptCipher = Cipher.getInstance(""AES/CBC/PKCS5Padding"");
// Initialize PBE Cipher with key and parameters
decryptCipher.init(Cipher.DECRYPT_MODE, aesKey, ips);

// Decrypt the cleartext
byte[] deciphertext = decryptCipher.doFinal(ciphertext);
</code></pre>

<p>In a nutshell what it should do is encrypt some message that can decrypted by the server without the server needing to get a key or IV from the phone. Is there a way I could do this  where I could secure the IV and key on the phone, and still have the key and IV known by the server as well? Feel free to tell me to make things more clear if they're not.</p>
"	NULL	7	NULL	49:26.4	10	31:20.7	44:22.7	NULL	-1	127929	0	1	16	<java><encryption><aes>	How to implement Java 256-bit AES encryption with CBC	50753	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1760785	1760868	4	"<p>this code give invalid AES key length error. how can i correct it ? ( i want 128 bit key AES encryption )</p>

<pre><code>package org.temp2.cod1;
import java.security.*;

import javax.crypto.*;
import javax.crypto.spec.*;
import java.io.*;

public class Code1 {

    public static void main(String[] args) throws NoSuchAlgorithmException, NoSuchPaddingException, InvalidKeyException, IllegalBlockSizeException, BadPaddingException, UnsupportedEncodingException {
    String s = ""9882623867"";
    byte[] plaintext = s.getBytes(""UTF-16"");
    String s2 = ""supernova"";
    byte[] key = s2.getBytes(""UTF-16"");
    Cipher c = Cipher.getInstance(""AES"");
    SecretKeySpec k =  new SecretKeySpec(key, ""AES"");
    c.init(Cipher.ENCRYPT_MODE, k);
    byte[] encryptedData = c.doFinal(plaintext);
    System.out.println(encryptedData);
}
}
</code></pre>

<p>any help appreciated </p>
"	NULL	0	NULL	52:52.3	10	51:40.4	NULL	NULL	0	193133	0	1	27	<java><encryption><aes>	invalid AES key length error	85221	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2568841	0	5	"<p>I am trying to create an AES encryption method, but for some reason I keep getting</p>

<blockquote>
  <p><code>java.security.InvalidKeyException: Key length not 128/192/256 bits</code></p>
</blockquote>

<p>Here is the code:</p>

<pre><code>public static SecretKey getSecretKey(char[] password, byte[] salt) throws NoSuchAlgorithmException, InvalidKeySpecException{
    SecretKeyFactory factory = SecretKeyFactory.getInstance(""PBEWithMD5AndDES"");
    // NOTE: last argument is the key length, and it is 256
    KeySpec spec = new PBEKeySpec(password, salt, 1024, 256);
    SecretKey tmp = factory.generateSecret(spec);
    SecretKey secret = new SecretKeySpec(tmp.getEncoded(), ""AES"");
    return(secret);
}


public static byte[] encrypt(char[] password, byte[] salt, String text) throws NoSuchAlgorithmException, InvalidKeySpecException, NoSuchPaddingException, InvalidKeyException, InvalidParameterSpecException, IllegalBlockSizeException, BadPaddingException, UnsupportedEncodingException{
    SecretKey secret = getSecretKey(password, salt);

    Cipher cipher = Cipher.getInstance(""AES"");

    // NOTE: This is where the Exception is being thrown
    cipher.init(Cipher.ENCRYPT_MODE, secret);
    byte[] ciphertext = cipher.doFinal(text.getBytes(""UTF-8""));
    return(ciphertext);
}
</code></pre>

<p>Can anyone see what I am doing wrong? I am thinking it may have something to do with the SecretKeyFactory algorithm, but that is the only one I can find that is supported on the end system I am developing against.  Any help would be appreciated.  Thanks.</p>
"	NULL	5	NULL	50:26.9	5	21:31.5	44:36.0	NULL	474189	291059	0	1	8	<java><encryption><aes>	AES Encryption Java Invalid Key length	46117	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2758869	2759942	3	"<p>I am trying to make a program that Encrypts data using AES, then encrypts the AES key with RSA, and then decrypt. However, once i encrypt the AES key it comes out to 128 bytes. RSA will only allow me to decrypt 117 bytes or less, so when i go to decrypt the AES key it throws an error.</p>

<p>Relavent code:</p>

<pre><code>    KeyPairGenerator kpg = KeyPairGenerator.getInstance(""RSA"");
    kpg.initialize(1024);
    KeyPair kpa = kpg.genKeyPair();
    pubKey = kpa.getPublic();
    privKey = kpa.getPrivate();

    updateText(""Private Key: "" +privKey +""\n\nPublic Key: "" +pubKey);

    updateText(""Encrypting "" +infile);
    //Genereate aes key
    KeyGenerator kgen = KeyGenerator.getInstance(""AES"");
    kgen.init(128); // 192/256
    SecretKey aeskey = kgen.generateKey();
    byte[] raw = aeskey.getEncoded();

    SecretKeySpec skeySpec = new SecretKeySpec(raw, ""AES"");

    updateText(""Encrypting data with AES"");
    //encrypt data with AES key
    Cipher aesCipher = Cipher.getInstance(""AES"");
    aesCipher.init(Cipher.ENCRYPT_MODE, skeySpec);
    SealedObject aesEncryptedData = new SealedObject(infile, aesCipher);

    updateText(""Encrypting AES key with RSA"");
    //encrypt AES key with RSA
    Cipher cipher = Cipher.getInstance(""RSA"");
    cipher.init(Cipher.ENCRYPT_MODE, pubKey);
    byte[] encryptedAesKey = cipher.doFinal(raw);

    updateText(""Decrypting AES key with RSA. Encrypted AES key length: "" +encryptedAesKey.length);
    //decrypt AES key with RSA       
    Cipher decipher = Cipher.getInstance(""RSA"");
    decipher.init(Cipher.DECRYPT_MODE, privKey);
    byte[] decryptedRaw = decipher.doFinal(encryptedAesKey); //error thrown here because encryptedAesKey is 128 bytes
    SecretKeySpec decryptedSecKey = new SecretKeySpec(decryptedRaw, ""AES"");

    updateText(""Decrypting data with AES"");
    //decrypt data with AES key
    Cipher decipherAES = Cipher.getInstance(""AES"");
    decipherAES.init(Cipher.DECRYPT_MODE, decryptedSecKey);
    String decryptedText = (String) aesEncryptedData.getObject(decipherAES);

    updateText(""Decrypted Text: "" +decryptedText);
</code></pre>

<p>Any idea on how to get around this?</p>
"	NULL	1	NULL	48:48.4	3	43:27.3	23:07.8	NULL	183528	104998	0	1	3	<java><security><encryption><cryptography><rsa>	Encrypted AES key too large to Decrypt with RSA (Java)	5368	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
